(0.0010, 0.0120, 0.0280)	Architecture [10-29]	 Time 0.0420	 Loss 1.1790	 CELoss 1.1240	  RegLoss 0.0550	 s9 1.0075980424880981
(0.0010, 0.0110, 0.0280)	Architecture [10-34]	 Time 0.0420	 Loss 0.7966	 CELoss 0.7416	  RegLoss 0.0550	 s9 1.0078239440917969
(0.0020, 0.0080, 0.0190)	Architecture [10-39]	 Time 0.0300	 Loss 1.0276	 CELoss 0.9725	  RegLoss 0.0551	 s9 1.0079140663146973
(0.0010, 0.0100, 0.0290)	Architecture [10-44]	 Time 0.0420	 Loss 0.7630	 CELoss 0.7080	  RegLoss 0.0550	 s9 1.0077961683273315
(0.0020, 0.0110, 0.0300)	Architecture [10-49]	 Time 0.0450	 Loss 0.7114	 CELoss 0.6564	  RegLoss 0.0550	 s9 1.0077521800994873
(0.0020, 0.0100, 0.0270)	Architecture [10-54]	 Time 0.0400	 Loss 1.8203	 CELoss 1.7652	  RegLoss 0.0550	 s9 1.0075987577438354
(0.0020, 0.0100, 0.0260)	Architecture [11-4]	 Time 0.0390	 Loss 1.2020	 CELoss 1.1469	  RegLoss 0.0550	 s9 1.0078151226043701
(0.0010, 0.0060, 0.0110)	Architecture [11-9]	 Time 0.0190	 Loss 2.1906	 CELoss 2.1356	  RegLoss 0.0551	 s9 1.008043885231018
(0.0010, 0.0070, 0.0110)	Architecture [11-14]	 Time 0.0210	 Loss 1.9634	 CELoss 1.9083	  RegLoss 0.0551	 s9 1.0080026388168335
(0.0020, 0.0100, 0.0260)	Architecture [11-19]	 Time 0.0390	 Loss 0.7718	 CELoss 0.7167	  RegLoss 0.0551	 s9 1.007952332496643
(0.0020, 0.0100, 0.0250)	Architecture [11-24]	 Time 0.0380	 Loss 0.5978	 CELoss 0.5427	  RegLoss 0.0551	 s9 1.0080103874206543
(0.0010, 0.0110, 0.0280)	Architecture [11-29]	 Time 0.0420	 Loss 0.8616	 CELoss 0.8066	  RegLoss 0.0551	 s9 1.0080136060714722
